p (mbar),T (degC),Tdew (degC),rh (%),max. wv (m/s),SWDR (W/m�)
988.85,19.16,9.71,54.25,2.22,243.06
988.85,19.54,9.66,52.78,4.76,369.38
988.88,19.62,9.89,53.34,4.65,318.09
988.97,19.76,9.98,53.21,4.04,342.22
988.92,20.18,9.99,51.89,2.39,878.17
988.91,21.14,9.69,47.91,4.2,996.76
989.03,21.07,9.75,48.32,5.2,198.05
989.12,20.47,9.81,50.36,2.68,256.93
989.16,20.32,9.65,50.27,5.68,271.61
989.23,20.07,9.31,49.88,5.58,277.94
989.22,19.88,9.45,50.95,6.08,308.89
989.28,20.18,9.35,49.69,3.0,354.21
989.33,20.32,8.89,47.74,3.59,277.52
989.38,20.38,8.84,47.41,3.02,294.33
989.37,20.25,8.72,47.42,3.25,664.84
989.23,20.65,8.28,44.91,6.01,636.13
989.22,20.78,8.18,44.23,6.36,627.49
989.26,20.84,8.43,44.82,6.72,616.65
989.3,20.97,8.53,44.77,5.34,613.31
989.38,21.05,8.36,44.03,5.94,390.66
989.42,20.8,8.53,45.25,5.5,397.17
989.42,20.75,8.86,46.42,4.07,269.94
989.42,20.99,9.04,46.3,4.96,502.98
989.4,20.96,8.81,45.65,3.52,305.52
989.41,20.79,8.99,46.72,2.94,168.02
989.36,21.1,8.99,45.83,3.12,447.51
989.37,21.7,9.08,44.43,6.22,457.74
989.4,21.43,9.32,45.93,6.63,347.25
989.42,21.23,9.34,46.56,5.81,321.55
989.44,21.34,9.32,46.17,4.65,308.13
989.55,21.34,9.14,45.63,4.52,294.26
989.64,21.35,9.06,45.34,4.18,256.87
989.72,21.31,8.81,44.68,3.86,193.25
989.81,21.31,8.8,44.66,2.25,144.22
989.92,21.13,8.61,44.57,1.89,97.37
990.05,20.98,8.52,44.73,1.9,49.4
990.17,20.67,8.54,45.63,1.4,44.7
990.24,20.39,8.12,45.12,1.08,44.92
990.26,20.31,7.83,44.47,1.19,38.43
990.31,20.29,7.52,43.59,1.11,26.45
990.33,20.16,7.45,43.72,1.25,16.99
990.38,19.97,7.36,43.98,1.16,10.1
990.46,19.75,7.22,44.15,1.72,4.39
990.6,19.78,7.15,43.84,2.15,0.84
990.79,20.02,7.16,43.25,1.98,0.0
990.93,19.32,7.8,47.19,0.92,0.0
991.11,18.55,8.39,51.53,1.29,0.0
991.28,18.13,8.41,52.99,0.79,0.0
991.34,17.75,8.89,56.05,0.95,0.0
991.41,17.3,8.94,57.86,0.93,0.0
991.46,17.04,8.95,58.86,0.53,0.0
991.51,16.84,8.91,59.47,0.61,0.0
991.56,16.48,9.06,61.45,1.52,0.0
991.63,15.8,9.27,65.12,1.49,0.0
991.7,15.49,9.08,65.55,0.92,0.0
991.76,15.6,8.3,61.73,1.19,0.0
991.84,15.65,8.68,63.15,0.53,0.0
991.91,15.44,8.47,63.09,1.05,0.0
992.02,15.0,8.74,66.1,0.95,0.0
991.94,14.83,8.34,65.08,1.56,0.0
991.9,14.7,8.3,65.41,2.05,0.0
991.85,14.7,8.34,65.61,1.93,0.0
991.86,14.4,8.38,67.07,1.56,0.0
991.94,14.13,8.33,68.03,1.71,0.0
991.98,13.86,8.56,70.3,2.2,0.0
991.95,13.81,9.04,72.9,1.2,0.0
991.88,13.78,8.85,72.07,0.99,0.0
991.83,13.56,9.0,73.86,1.42,0.0
991.87,13.11,8.83,75.19,2.08,0.0
991.81,12.87,9.28,78.77,1.42,0.0
991.78,12.74,9.4,80.1,1.57,0.0
991.83,12.66,9.45,80.8,1.29,0.0
991.83,12.57,9.4,81.0,1.04,0.0
991.85,12.26,9.16,81.3,0.93,0.0
991.93,12.15,8.83,80.1,1.24,0.0
991.96,12.0,8.78,80.6,2.2,0.0
991.96,11.8,9.31,84.7,1.97,0.0
991.97,11.71,9.5,86.3,1.6,0.0
992.11,11.52,9.47,87.2,2.14,0.0
992.14,11.3,9.62,89.4,1.77,0.0
992.17,11.2,9.44,88.9,2.46,0.0
992.21,11.08,9.17,88.0,1.72,0.0
992.25,11.26,9.4,88.3,2.36,0.0
992.27,11.31,9.38,87.9,1.87,0.0
992.24,11.17,9.46,89.2,1.36,0.0
992.29,11.2,9.41,88.7,1.91,0.0
992.31,11.04,9.42,89.7,1.73,0.0
992.42,10.94,9.45,90.5,1.84,0.0
992.46,10.69,9.15,90.2,1.26,0.0
992.4,10.53,9.32,92.2,2.11,0.0
992.42,10.58,9.29,91.7,3.45,0.0
992.47,10.42,9.36,93.1,2.68,0.0
992.48,10.16,9.16,93.5,2.98,0.0
992.57,9.84,9.13,95.3,1.75,0.0
992.61,9.63,9.1,96.5,1.69,0.0
992.68,9.61,9.17,97.1,2.53,0.0
992.68,9.65,9.18,96.9,2.95,2.52
992.7,9.6,9.19,97.3,2.61,6.94
992.79,9.63,9.18,97.0,1.8,17.03
992.83,9.78,9.08,95.4,1.64,32.75
992.87,9.88,9.13,95.1,3.03,50.38
992.83,10.57,9.44,92.7,3.05,69.77
992.93,10.8,9.47,91.5,2.78,91.29
992.97,11.06,9.47,89.9,2.4,114.06
993.07,11.32,9.51,88.6,1.72,138.61
993.18,11.72,9.56,86.6,3.02,162.98
993.27,11.75,9.58,86.5,2.62,187.28
993.27,12.12,9.66,84.9,2.22,210.62
993.33,12.46,9.84,84.0,2.37,236.65
993.37,12.97,10.1,82.7,2.37,263.5
993.41,13.6,10.28,80.3,3.88,290.83
993.5,13.69,10.38,80.4,4.14,320.53
993.48,14.18,10.62,79.14,2.09,347.57
993.52,14.86,10.85,76.88,2.44,374.48
993.47,15.15,11.03,76.36,2.34,402.51
993.35,15.91,11.26,73.87,2.51,430.67
993.27,16.34,11.49,72.95,2.59,457.79
993.25,17.05,11.57,70.11,2.62,483.43
993.27,17.83,11.77,67.61,2.98,509.97
993.15,18.34,11.99,66.46,2.54,536.19
992.99,19.08,12.01,63.52,2.78,558.7
992.96,19.7,12.15,61.68,3.18,582.87
992.91,20.39,12.28,59.64,3.01,605.52
992.88,20.66,12.4,59.12,3.78,622.69
992.88,20.91,12.31,57.86,4.04,654.4
992.81,21.08,12.04,56.24,4.85,717.82
992.76,21.78,11.51,52.03,3.66,702.38
992.81,22.29,10.41,46.89,3.23,501.74
992.79,22.13,8.85,42.62,3.12,312.17
992.71,22.12,9.08,43.33,2.21,240.53
992.72,22.34,8.9,42.23,2.97,590.65
992.65,23.23,8.63,39.28,3.22,797.54
992.56,23.68,7.68,35.84,5.12,801.03
992.59,23.85,7.82,35.82,3.54,669.59
992.67,23.48,7.28,35.29,3.44,622.73
992.63,23.75,7.17,34.47,3.9,839.53
992.62,23.89,7.01,33.79,4.99,550.14
992.57,23.86,7.3,34.55,2.55,644.43
992.46,23.95,7.34,34.45,4.12,845.43
992.38,24.39,7.34,33.56,4.48,868.74
992.32,24.64,7.25,32.84,3.85,835.54
992.32,24.69,7.45,33.21,4.44,574.76
992.27,24.43,7.49,33.81,4.31,874.85
992.2,24.82,7.65,33.4,4.94,887.22
992.16,24.88,7.51,32.96,6.01,899.52
992.11,25.19,7.34,31.98,4.69,851.62
992.05,25.31,7.4,31.9,4.35,816.91
992.03,25.02,7.2,32.0,4.21,825.72
991.94,25.09,7.17,31.81,4.18,827.85
991.85,25.22,7.18,31.58,5.12,816.11
991.84,25.51,7.09,30.85,5.71,822.83
991.83,25.33,6.94,30.87,3.93,808.47
991.77,25.44,7.09,30.99,3.88,782.7
991.69,25.47,6.86,30.45,5.31,764.69
991.62,25.48,6.76,30.22,4.78,715.2
991.54,25.49,6.64,29.95,4.4,541.37
991.55,25.44,6.52,29.78,3.41,667.73
991.45,25.53,6.7,29.99,4.01,646.68
991.43,25.76,6.58,29.34,3.67,634.88
991.39,25.97,6.43,28.68,4.12,621.18
991.38,26.29,6.48,28.25,4.57,586.86
991.35,26.02,6.27,28.28,3.01,584.97
991.32,26.31,6.24,27.76,3.29,568.1
991.29,26.3,6.17,27.63,4.83,541.18
991.27,26.7,6.09,26.84,4.16,491.9
991.33,26.58,5.95,26.77,5.84,459.55
991.27,26.64,5.85,26.5,3.81,478.85
991.2,26.55,5.92,26.76,4.34,455.26
991.18,26.48,5.69,26.45,3.84,420.14
991.15,26.76,5.67,25.98,4.83,397.86
991.19,27.01,5.77,25.77,3.73,372.49
991.15,27.03,5.61,25.47,3.93,342.82
991.11,27.09,5.64,25.42,3.62,313.63
991.07,27.21,5.88,25.67,2.82,282.24
991.07,27.31,5.76,25.31,2.44,243.95
991.07,27.31,6.05,25.82,2.42,212.33
991.05,27.07,6.08,26.25,2.62,199.66
991.09,26.78,5.91,26.39,1.95,174.27
991.17,26.81,5.91,26.33,1.82,128.39
991.26,26.18,6.06,27.62,1.72,32.32
991.29,25.53,6.1,28.78,1.15,28.07
991.32,25.25,6.14,29.35,1.16,24.11
991.33,25.07,6.14,29.67,1.02,19.89
991.38,24.94,6.12,29.85,1.28,15.48
991.44,24.82,6.34,30.52,1.03,10.53
991.54,24.49,6.26,30.96,0.83,5.51
991.67,24.21,6.32,31.62,1.48,1.99
991.77,23.82,6.51,32.78,1.6,0.0
991.92,23.11,6.99,35.37,0.98,0.0
992.02,22.81,7.49,37.29,0.99,0.0
992.12,22.53,7.74,38.56,0.79,0.0
992.27,21.99,8.19,41.11,1.14,0.0
992.33,21.35,8.39,43.32,0.7,0.0
992.41,21.08,8.42,44.13,0.45,0.0
992.48,20.89,8.49,44.88,0.26,0.0
992.53,20.63,8.37,45.23,0.61,0.0
992.57,20.24,8.43,46.51,0.78,0.0
992.58,19.85,8.95,49.36,0.64,0.0
992.59,19.5,9.07,50.87,0.48,0.0
992.65,19.26,8.83,50.78,0.79,0.0
992.75,19.02,8.3,49.74,1.55,0.0
992.78,19.16,7.96,48.19,1.9,0.0
992.86,19.28,8.13,48.39,1.49,0.0
992.93,18.96,8.03,49.03,1.74,0.0
992.94,18.65,8.06,50.08,1.17,0.0
993.0,18.1,8.26,52.55,1.71,0.0
993.02,17.74,8.21,53.58,1.68,0.0
993.08,17.18,8.18,55.37,1.7,0.0
993.14,16.86,8.62,58.25,1.41,0.0
993.22,16.66,8.48,58.42,1.51,0.0
993.27,16.31,8.9,61.44,1.96,0.0
993.26,15.7,9.21,65.26,1.78,0.0
993.26,15.36,9.51,68.06,1.61,0.0
993.33,15.19,9.56,69.05,0.9,0.0
993.38,15.04,8.91,66.71,1.38,0.0
993.39,15.43,8.53,63.42,1.14,0.0
993.43,15.68,8.89,63.93,2.33,0.0
993.45,15.34,9.09,66.25,2.43,0.0
993.47,15.0,9.28,68.56,2.56,0.0
993.5,14.88,9.26,69.01,2.72,0.0
993.47,14.87,9.11,68.35,2.72,0.0
993.49,14.84,8.95,67.75,2.68,0.0
993.54,14.61,8.82,68.19,2.1,0.0
993.55,14.34,8.93,69.89,3.06,0.0
993.57,14.55,8.97,69.12,3.19,0.0
993.63,14.45,9.04,69.92,2.97,0.0
993.72,14.08,9.13,72.04,2.74,0.0
993.76,13.96,8.95,71.74,1.88,0.0
993.82,13.88,8.88,71.78,2.05,0.0
993.87,14.06,9.02,71.59,2.03,0.0
993.93,14.07,8.95,71.21,2.02,0.0
994.0,13.95,8.97,71.86,1.55,0.0
994.09,13.45,9.0,74.39,1.55,0.0
994.08,13.08,9.02,76.31,2.24,0.0
994.12,12.75,9.04,78.12,1.54,0.0
994.12,12.4,9.2,80.8,2.15,0.0
994.14,12.14,9.27,82.6,1.53,0.0
994.21,11.9,9.24,83.7,1.82,0.0
994.27,11.81,9.2,84.0,1.4,0.0
994.33,11.81,9.31,84.6,1.64,0.0
994.33,11.85,9.35,84.6,1.02,0.96
994.38,11.81,9.34,84.8,0.63,4.63
994.43,11.9,9.29,84.0,0.66,12.39
994.44,12.24,9.12,81.2,1.01,30.71
994.52,12.28,9.01,80.4,1.64,48.06
994.53,12.67,9.26,79.7,0.91,67.0
994.55,13.12,9.44,78.32,1.36,88.13
994.66,13.32,9.5,77.64,1.33,110.5
994.79,13.68,9.62,76.44,1.22,134.24
994.82,14.24,9.73,74.25,0.99,157.54
994.86,14.64,9.75,72.45,1.33,181.5
994.97,14.66,9.74,72.32,1.7,205.53
995.06,14.85,9.8,71.7,1.62,232.78
995.11,15.37,9.87,69.68,1.74,260.18
995.19,15.97,9.93,67.34,1.49,287.76
995.23,16.42,10.07,66.03,2.14,314.92
995.26,16.53,10.2,66.15,1.77,341.82
995.34,17.12,10.3,64.13,1.04,368.65
995.34,17.82,10.46,62.03,1.52,395.17
995.38,17.62,10.59,63.38,1.82,424.8
995.46,18.36,10.55,60.34,2.18,451.57
995.39,19.07,10.83,58.78,1.73,478.35
995.35,19.76,11.07,57.23,1.79,504.54
995.36,20.66,11.08,54.18,1.4,529.03
995.34,21.52,11.18,51.72,2.38,541.93
995.37,21.94,11.17,50.39,2.25,572.46
995.34,22.49,11.31,49.19,1.66,541.99
995.3,22.92,11.07,47.16,2.11,622.75
995.26,23.6,11.0,45.04,2.15,642.57
995.18,24.05,10.81,43.29,1.85,662.93
995.09,24.53,10.9,42.31,2.77,683.64
995.07,24.4,10.26,40.88,3.13,703.16
995.11,24.79,9.24,37.28,2.8,724.61
995.07,25.15,8.71,35.21,2.86,738.26
995.02,25.3,8.17,33.63,3.35,753.93
995.02,25.46,7.01,30.78,2.3,767.55
994.98,26.06,6.75,29.17,2.56,764.26
994.99,26.1,6.59,28.78,2.88,775.06
994.92,26.23,6.49,28.36,2.93,786.69
994.93,26.56,6.76,28.35,2.7,797.62
994.93,26.39,7.26,29.63,2.84,804.47
994.83,26.57,7.29,29.37,4.92,811.29
994.77,26.45,7.27,29.54,3.81,819.55
994.67,26.83,6.98,28.33,3.96,820.51
994.56,26.84,7.11,28.56,3.44,824.0
994.47,26.89,7.07,28.41,4.08,822.99
994.44,26.95,7.2,28.56,3.66,824.41
994.42,27.64,7.45,27.89,3.27,817.86
994.36,27.85,7.33,27.33,2.9,814.94
994.24,27.74,7.4,27.65,4.43,813.01
994.24,27.61,7.39,27.84,5.11,806.29
994.21,27.82,7.52,27.74,3.54,798.94
994.14,27.87,7.49,27.6,4.15,791.67
994.1,27.78,7.41,27.6,4.92,780.55
994.08,27.98,7.42,27.29,3.51,764.39
994.04,28.24,7.54,27.1,3.24,751.82
993.94,28.29,7.31,26.6,4.05,739.02
993.84,28.7,7.7,26.69,3.2,723.25
993.78,28.52,7.52,26.64,5.31,708.35
993.77,28.29,7.33,26.65,5.0,691.93
993.75,28.56,7.35,26.26,3.96,670.85
993.71,28.58,7.19,25.95,4.62,653.77
993.65,28.64,7.3,26.06,5.12,638.89
993.56,28.61,7.22,25.95,4.02,618.1
993.52,28.59,6.96,25.53,5.83,597.71
993.56,28.55,7.0,25.65,4.4,574.96
993.55,29.03,6.96,24.88,4.02,549.92
993.53,29.06,6.71,24.41,4.82,525.48
993.48,28.92,6.56,24.36,4.97,505.55
993.47,28.99,6.42,24.03,4.21,477.83
993.45,29.13,6.48,23.93,4.68,454.12
993.47,28.93,6.38,24.05,4.62,428.4
993.49,28.75,6.15,23.91,5.64,402.85
993.49,28.81,6.08,23.72,5.75,376.81
993.48,28.91,6.26,23.87,4.68,350.13
993.43,29.06,6.27,23.68,3.82,322.95
993.39,29.04,6.26,23.7,5.07,293.85
993.39,28.99,6.1,23.5,4.31,268.6
993.36,28.96,5.92,23.25,4.6,243.28
993.38,28.86,6.05,23.6,4.75,217.56
993.42,28.79,6.39,24.26,4.04,191.55
993.47,28.61,6.24,24.26,4.97,165.97
993.52,28.35,6.4,24.91,4.55,115.69
993.57,27.97,6.3,25.28,4.39,36.59
993.65,27.68,6.4,25.89,3.57,32.06
993.69,27.43,6.82,27.05,2.47,26.74
993.74,27.09,6.9,27.75,3.74,22.0
993.75,26.95,7.0,28.16,3.19,17.4
993.81,26.75,7.01,28.52,3.02,11.85
993.87,26.51,7.05,29.0,3.49,7.25
993.97,26.25,7.22,29.79,3.42,2.77
994.08,26.08,7.28,30.22,3.33,0.0
994.21,25.85,7.31,30.7,3.33,0.0
994.34,25.69,7.29,30.95,3.27,0.0
994.43,25.48,7.35,31.47,2.74,0.0
994.54,24.95,7.62,33.08,2.22,0.0
994.61,24.44,7.68,34.23,2.33,0.0
994.67,23.88,7.84,35.79,1.17,0.0
994.71,23.52,7.93,36.81,0.48,0.0
994.75,23.26,7.87,37.24,0.57,0.0
994.81,23.02,8.04,38.22,0.92,0.0
994.89,22.84,8.21,39.08,1.27,0.0
994.93,22.56,8.23,39.81,0.96,0.0
995.01,22.15,8.31,41.05,0.73,0.0
995.07,22.05,8.35,41.41,0.6,0.0
995.1,21.85,8.52,42.4,0.96,0.0
995.11,21.56,8.47,43.01,0.83,0.0
995.13,21.3,8.75,44.55,0.57,0.0
995.13,21.09,8.67,44.87,0.55,0.0
995.18,21.06,8.62,44.81,0.51,0.0
995.15,20.94,8.51,44.8,0.68,0.0
995.14,20.52,9.19,48.12,0.7,0.0
995.12,20.14,9.14,49.11,0.43,0.0
995.07,19.73,9.13,50.35,0.74,0.0
995.07,19.47,9.66,53.02,0.79,0.0
995.1,18.96,9.73,54.99,1.58,0.0
995.15,18.66,10.1,57.46,1.61,0.0
995.17,18.49,10.23,58.57,1.31,0.0
995.18,18.26,10.39,60.04,1.37,0.0
995.16,17.93,10.8,63.0,1.58,0.0
995.16,17.77,10.72,63.3,1.33,0.0
995.18,17.6,10.84,64.53,0.83,0.0
995.22,17.29,10.44,64.07,1.47,0.0
995.23,17.06,10.5,65.27,1.42,0.0
995.21,16.91,10.58,66.24,1.01,0.0
995.16,16.51,10.58,67.92,1.39,0.0
995.12,16.21,10.68,69.7,1.07,0.0
995.12,15.96,10.8,71.38,1.88,0.0
995.14,15.99,10.78,71.17,0.54,0.0
995.14,15.92,10.7,71.1,1.37,0.0
995.16,15.81,10.78,72.0,1.37,0.0
995.16,15.64,10.77,72.73,1.93,0.0
995.18,15.43,10.78,73.75,1.7,0.0
995.2,15.3,10.81,74.55,1.61,0.0
995.2,15.27,10.79,74.59,0.7,0.0
995.22,15.25,10.55,73.5,1.58,0.0
995.19,15.2,10.54,73.66,0.97,0.0
995.16,15.09,10.73,75.13,0.89,0.0
995.15,14.94,10.84,76.46,0.43,0.0
995.16,15.08,10.81,75.62,0.46,0.0
995.2,14.77,11.12,78.74,2.21,0.0
995.25,14.62,11.46,81.3,2.06,0.0
995.34,14.45,11.33,81.5,1.26,0.0
995.38,14.44,11.1,80.3,1.2,0.0
995.42,14.6,10.92,78.56,1.67,0.73
995.47,14.52,10.97,79.2,1.52,4.39
995.49,14.48,11.04,79.82,0.48,10.34
995.52,14.54,11.17,80.2,0.79,26.32
995.58,14.77,11.16,78.96,1.17,42.44
995.62,14.92,10.75,76.07,1.87,61.12
995.67,14.94,10.87,76.58,1.52,81.02
995.76,15.21,11.02,76.01,1.33,102.86
995.83,15.43,10.94,74.56,1.46,126.1
995.88,15.73,10.88,72.86,1.49,150.26
995.9,16.14,10.9,71.08,1.22,173.72
995.88,16.52,11.03,69.98,1.34,197.04
995.92,16.71,11.01,69.01,1.43,222.6
995.97,17.18,11.05,67.19,1.28,248.24
996.02,17.02,10.89,67.16,1.46,275.91
996.07,17.78,11.04,64.65,1.34,303.01
996.13,17.81,10.91,63.94,1.68,329.7
996.13,18.13,10.77,62.11,1.35,356.24
996.14,18.63,10.94,60.88,1.74,383.06
996.13,19.41,11.2,59.0,1.74,409.63
996.06,20.11,11.33,56.98,1.19,435.18
996.02,20.78,11.37,54.81,1.29,459.52
996.01,21.27,11.2,52.6,1.47,483.51
995.95,21.93,11.28,50.79,1.64,508.94
995.95,22.43,11.34,49.45,1.76,532.33
995.98,23.07,11.39,47.73,1.68,554.49
995.94,23.55,11.57,46.93,1.85,576.68
995.82,23.99,11.92,46.76,1.63,598.91
995.74,24.2,11.68,45.47,2.04,620.14
995.72,24.43,11.52,44.36,2.45,641.53
995.64,24.69,11.93,44.88,2.58,661.18
995.56,25.2,12.21,44.36,2.96,678.92
995.5,25.54,12.33,43.81,2.79,696.29
995.41,25.96,12.43,43.01,2.58,711.96
995.33,26.55,12.51,41.77,2.36,725.65
995.32,26.81,12.27,40.48,2.76,740.67
995.29,27.26,11.9,38.47,2.39,753.76
995.23,27.84,11.65,36.59,3.3,765.69
995.16,28.53,11.07,33.83,2.8,773.56
995.11,28.62,10.98,33.45,3.51,782.04
995.04,28.8,11.32,33.86,3.45,789.11
995.03,28.87,11.34,33.77,3.6,793.83
994.99,28.92,11.48,33.98,3.27,797.09
994.9,29.22,11.71,33.9,2.58,798.72
994.83,29.3,12.01,34.44,3.23,803.47
994.74,29.12,12.08,34.94,4.49,808.59
994.67,29.13,11.76,34.21,3.96,807.63
994.59,29.17,11.72,34.03,5.38,804.42
994.51,29.03,11.41,33.61,5.6,803.54
994.45,29.28,11.57,33.49,4.53,796.9
994.44,29.55,11.66,33.16,4.53,793.67
994.44,29.83,11.66,32.63,4.08,784.21
994.35,29.88,11.76,32.75,4.92,781.0
994.3,30.18,11.88,32.46,2.78,764.96
994.25,30.66,12.08,31.99,3.51,753.9
994.19,30.61,11.99,31.9,2.39,739.17
994.13,30.39,12.05,32.42,4.0,716.73
994.04,30.37,12.31,33.03,3.82,710.92
993.96,30.65,12.45,32.8,2.83,697.41
993.84,30.91,12.5,32.42,3.42,678.31
993.77,31.02,12.58,32.39,4.03,662.46
993.7,31.17,12.67,32.31,5.38,647.18
993.64,31.06,12.68,32.54,3.35,627.21
993.58,31.61,12.83,31.84,2.99,607.05
993.54,31.47,12.73,31.89,4.21,586.17
993.49,31.77,12.74,31.38,3.04,562.39
993.49,31.41,12.63,31.78,3.76,534.4
993.43,31.32,12.47,31.62,4.85,510.12
993.4,31.7,12.52,31.05,3.32,486.57
993.38,31.8,12.48,30.8,5.26,438.68
993.38,31.7,12.49,30.98,4.36,395.65
993.32,31.59,12.29,30.78,3.4,402.35
993.28,31.59,12.14,30.46,2.68,376.13
993.22,31.8,12.15,30.12,3.34,354.84
993.21,32.03,12.0,29.45,3.23,332.64
993.16,32.09,12.08,29.5,3.27,301.65
993.14,32.2,11.98,29.13,3.79,272.61
993.16,32.01,11.88,29.25,2.68,253.48
993.13,32.15,12.17,29.57,2.96,225.35
993.08,32.18,11.97,29.14,4.15,201.36
993.02,32.05,12.14,29.68,2.55,177.08
992.96,31.54,12.32,30.93,3.1,153.42
992.97,31.32,12.04,30.74,2.96,101.29
992.92,30.9,12.12,31.65,2.26,37.31
992.93,30.37,12.18,32.74,2.36,32.49
992.93,30.09,12.01,32.91,3.16,28.1
992.95,30.03,11.98,32.96,2.97,22.88
992.96,29.87,12.07,33.45,2.14,17.2
992.97,29.7,12.14,33.93,2.42,11.45
993.01,29.54,12.27,34.55,2.69,6.46
993.09,29.21,12.31,35.3,2.45,1.64
993.13,28.77,12.47,36.59,2.33,0.0
993.25,28.29,12.47,37.62,1.54,0.0
993.35,28.15,12.57,38.18,2.14,0.0
993.43,27.87,12.67,39.06,0.88,0.0
993.51,27.37,12.79,40.55,0.61,0.0
993.56,27.07,12.78,41.23,0.4,0.0
993.62,26.91,12.91,41.98,0.89,0.0
993.67,26.59,13.05,43.17,0.75,0.0
993.66,26.22,13.3,44.85,0.58,0.0
993.67,26.21,13.3,44.86,0.75,0.0
993.65,25.98,13.3,45.5,0.78,0.0
993.67,25.76,13.4,46.37,0.64,0.0
993.75,25.4,13.36,47.26,0.67,0.0
993.83,25.05,13.48,48.63,0.46,0.0
993.85,24.93,13.57,49.28,0.4,0.0
993.86,24.85,13.77,50.14,0.39,0.0
993.9,24.13,14.28,54.12,0.58,0.0
993.99,23.2,14.03,56.31,2.38,0.0
994.01,22.68,14.09,58.35,2.15,0.0
994.0,22.68,14.1,58.38,1.4,0.0
993.99,23.0,13.99,56.87,0.84,0.0
993.99,23.56,13.73,54.05,1.69,0.0
994.02,23.72,13.97,54.38,1.75,0.0
994.04,22.99,14.35,58.25,0.67,0.0
994.04,22.87,14.05,57.52,0.92,0.0
994.08,22.55,14.41,60.02,1.81,0.0
994.13,21.78,14.44,63.03,2.25,0.0
994.11,21.28,14.71,66.13,1.59,0.0
994.12,21.35,14.77,66.11,1.37,0.0
994.1,21.34,14.79,66.23,1.43,0.0
994.08,21.45,14.65,65.22,1.32,0.0
994.06,21.55,14.51,64.23,1.35,0.0
994.07,21.53,14.61,64.7,0.79,0.0
994.08,20.54,14.53,68.42,1.88,0.0
994.09,20.04,14.58,70.79,1.3,0.0
994.12,19.94,14.65,71.55,0.96,0.0
994.17,20.1,14.53,70.32,1.65,0.0
994.15,20.37,14.48,68.93,1.41,0.0
994.11,20.42,14.46,68.64,1.59,0.0
994.1,20.36,14.45,68.85,1.19,0.0
994.16,19.98,14.58,71.08,0.69,0.0
994.21,19.4,14.5,73.3,1.16,0.0
994.21,18.98,14.64,75.9,2.94,0.0
994.23,18.69,14.81,78.14,1.71,0.0
994.24,18.56,14.72,78.32,1.01,0.0
994.24,18.58,14.64,77.85,1.9,0.0
994.23,18.56,14.67,78.08,1.39,0.0
994.26,18.51,14.64,78.19,1.12,0.0
994.27,18.58,14.59,77.59,0.88,0.0
994.27,18.62,14.59,77.39,2.37,0.0
994.35,18.59,14.56,77.37,2.26,0.0
994.4,18.57,14.59,77.61,1.17,0.0
994.42,18.47,14.68,78.58,1.76,0.0
994.51,18.37,14.57,78.53,1.06,0.15
994.56,18.22,14.55,79.16,1.74,3.3
994.62,18.06,14.58,80.1,2.46,9.0
994.67,17.95,14.65,81.0,2.66,20.27
994.75,17.99,14.57,80.4,0.98,32.23
994.82,18.27,14.56,78.96,1.02,46.18
994.86,18.6,14.59,77.49,1.92,63.32
994.87,18.77,14.55,76.49,2.31,84.66
994.87,18.83,14.68,76.81,1.8,108.03
994.92,19.21,14.75,75.36,0.89,128.38
994.95,19.62,14.85,73.95,1.14,149.89
994.96,19.96,14.82,72.24,1.24,174.29
994.97,20.61,14.9,69.77,0.79,200.82
994.95,21.35,14.91,66.72,0.7,222.81
994.97,21.91,15.04,65.0,2.12,245.97
995.01,21.66,14.96,65.66,2.5,272.41
995.01,21.55,15.1,66.72,2.23,302.88
995.02,21.79,15.15,65.95,2.34,336.82
995.09,22.07,15.25,65.24,1.79,360.09
995.12,22.48,15.42,64.35,2.1,389.24
995.07,23.29,15.53,61.69,1.41,406.93
995.0,23.85,15.6,59.91,2.14,435.21
994.92,24.54,15.53,57.24,2.38,461.85
994.83,25.14,15.59,55.44,2.13,486.79
994.72,25.84,15.78,53.85,2.23,506.83
994.62,26.57,15.81,51.68,2.2,530.02
994.55,27.36,15.84,49.43,1.86,553.87
994.49,27.98,15.76,47.42,1.98,574.67
994.51,28.36,15.62,45.99,2.17,596.46
994.49,28.88,15.56,44.45,2.45,616.69
994.44,29.07,14.99,42.38,3.08,637.67
994.33,29.53,14.53,40.06,2.33,654.02
994.21,30.19,14.03,37.33,3.27,673.03
994.14,30.66,13.56,35.26,3.51,691.65
994.07,30.74,12.86,33.52,3.69,707.74
994.04,30.92,12.74,32.92,3.73,719.57
994.0,31.0,13.05,33.44,3.23,731.2
993.94,30.96,13.11,33.66,3.91,742.38
993.87,30.92,13.02,33.53,3.43,753.93
993.8,31.28,13.11,33.04,3.88,763.2
993.74,31.47,13.26,33.02,2.39,769.6
993.7,31.5,13.32,33.08,1.85,780.97
993.65,32.1,13.04,31.41,3.23,785.96
993.62,32.3,13.08,31.14,2.29,797.89
993.56,31.89,13.01,31.72,3.54,802.59
993.49,32.26,13.13,31.31,4.08,791.72
993.38,32.09,13.03,31.4,4.5,804.93
993.32,31.9,12.8,31.27,5.13,816.84
993.23,32.18,12.81,30.8,3.8,805.91
993.17,32.39,12.49,29.8,4.03,806.75
993.09,32.62,12.49,29.42,3.18,814.14
992.96,33.06,12.4,28.54,4.05,807.93
992.88,32.87,12.2,28.46,3.07,793.62
